,Average house price,GDP,CPI,Personal savings rate,Effective rate
1963-01-01,19300.0,621.672,30.44,10.9,3.0
1963-04-01,19400.0,629.752,30.48,10.7,3.0
1963-07-01,19200.0,644.444,30.69,10.1,3.0
1963-10-01,19600.0,653.938,30.75,11.5,3.5
1964-01-01,19600.0,669.822,30.94,10.7,3.25
1964-04-01,20200.0,678.674,30.95,12.4,3.5
1964-07-01,20500.0,692.031,31.02,11.2,3.5
1964-10-01,20900.0,697.319,31.12,11.2,3.5
1965-01-01,21500.0,717.79,31.28,12.1,4.0
1965-04-01,21000.0,730.191,31.38,10.2,4.13
1965-07-01,21600.0,749.323,31.58,11.9,4.13
1965-10-01,21700.0,771.857,31.65,10.9,4.13
1966-01-01,22700.0,795.734,31.88,11.2,4.63
1966-04-01,23200.0,804.981,32.28,10.3,4.75
1966-07-01,23000.0,819.638,32.45,10.9,5.5
1966-10-01,22800.0,833.302,32.85,11.6,5.75
1967-01-01,24000.0,844.17,32.9,12.1,5.0
1967-04-01,24200.0,848.983,33.1,11.9,4.5
1967-07-01,23900.0,865.233,33.4,12.6,3.5
1967-10-01,24400.0,881.439,33.7,12.9,3.75
1968-01-01,25400.0,909.387,34.1,11.7,4.5
1968-04-01,26700.0,934.344,34.4,12.3,5.5
1968-07-01,26600.0,950.825,34.9,10.7,6.13
1968-10-01,27000.0,968.03,35.3,10.8,6.0
1969-01-01,27600.0,993.337,35.7,10.3,4.0
1969-04-01,28100.0,1009.02,36.3,9.7,6.63
1969-07-01,28100.0,1029.956,36.8,11.8,8.75
1969-10-01,27100.0,1038.147,37.3,11.4,8.0
1970-01-01,27000.0,1051.2,37.9,11.8,5.0
1970-04-01,27300.0,1067.375,38.5,13.3,8.0
1970-07-01,26000.0,1086.059,38.9,13.5,7.0
1970-10-01,26300.0,1088.608,39.4,13.1,6.5
1971-01-01,27300.0,1135.156,39.9,13.3,3.0
1971-04-01,28600.0,1156.271,40.1,13.2,4.0
1971-07-01,28300.0,1177.675,40.6,13.8,5.25
1971-10-01,28200.0,1190.297,40.9,13.3,5.38
1972-01-01,29000.0,1230.609,41.2,12.5,3.0
1972-04-01,29400.0,1266.369,41.5,11.5,4.0
1972-07-01,30300.0,1290.566,41.8,11.7,4.5
1972-10-01,31600.0,1328.904,42.2,13.0,4.88
1973-01-01,32800.0,1377.49,42.7,12.4,5.5
1973-04-01,35100.0,1413.887,43.7,13.2,7.38
1973-07-01,35900.0,1433.838,44.2,13.2,8.88
1973-10-01,36600.0,1476.289,45.6,14.4,10.9
1974-01-01,38000.0,1491.209,46.8,14.3,9.83
1974-04-01,38600.0,1530.056,48.1,13.1,10.01
1974-07-01,39000.0,1560.026,49.3,12.8,14.33
1974-10-01,39300.0,1599.679,51.0,13.4,11.3
1975-01-01,40900.0,1616.116,52.3,13.2,3.87
1975-04-01,42600.0,1651.853,53.0,14.2,5.48
1975-07-01,42200.0,1709.82,54.0,12.6,6.12
1975-10-01,44400.0,1761.831,54.9,13.4,6.24
1976-01-01,46000.0,1820.487,55.8,11.7,5.37
1976-04-01,47800.0,1852.332,56.1,11.7,4.83
1976-07-01,48100.0,1886.558,57.0,11.7,5.58
1976-10-01,50300.0,1934.273,57.9,11.1,5.32
1977-01-01,51600.0,1988.648,58.7,10.6,4.17
1977-04-01,54300.0,2055.909,60.0,10.5,4.72
1977-07-01,54000.0,2118.473,60.8,10.5,5.36
1977-10-01,57500.0,2164.27,61.6,11.0,6.46
1978-01-01,59300.0,2202.76,62.7,11.9,6.53
1978-04-01,61600.0,2331.633,63.9,10.8,6.97
1978-07-01,63500.0,2395.053,65.5,10.9,8.01
1978-10-01,66400.0,2476.949,67.1,10.7,8.9
1979-01-01,68300.0,2526.61,68.5,11.1,10.84
1979-04-01,72400.0,2591.247,70.6,11.0,10.07
1979-07-01,74200.0,2667.565,73.0,10.6,10.54
1979-10-01,72700.0,2723.883,75.2,9.7,12.06
1980-01-01,73600.0,2789.842,78.0,9.9,14.77
1980-04-01,74400.0,2797.352,80.9,11.3,19.79
1980-07-01,77500.0,2856.483,82.6,11.3,9.47
1980-10-01,80000.0,2985.557,84.7,11.3,13.05
1981-01-01,80900.0,3124.206,87.2,10.9,22.0
1981-04-01,84300.0,3162.532,89.1,10.9,14.51
1981-07-01,83800.0,3260.609,91.5,12.3,21.09
1981-10-01,83700.0,3280.818,93.4,13.0,16.96
1982-01-01,81200.0,3274.302,94.4,12.7,13.13
1982-04-01,85700.0,3331.972,95.0,12.9,15.48
1982-07-01,83900.0,3366.322,97.5,12.5,14.73
1982-10-01,84600.0,3402.561,98.1,11.3,10.87
1983-01-01,86700.0,3473.413,97.9,11.1,11.2
1983-04-01,89100.0,3578.848,98.8,10.3,9.12
1983-07-01,92500.0,3689.179,99.8,9.6,9.31
1983-10-01,90800.0,3794.706,100.8,9.7,10.59
1984-01-01,94700.0,3908.054,102.1,10.0,9.92
1984-04-01,99200.0,4009.601,103.3,11.5,10.24
1984-07-01,98500.0,4084.25,104.1,11.6,10.85
1984-10-01,97800.0,4148.551,105.1,11.7,11.38
1985-01-01,98500.0,4230.168,105.7,10.3,8.74
1985-04-01,100500.0,4294.887,107.0,9.9,8.83
1985-07-01,100500.0,4386.773,107.7,9.1,8.12
1985-10-01,103800.0,4444.094,108.5,9.1,8.26
1986-01-01,106300.0,4507.894,109.9,8.6,13.46
1986-04-01,112000.0,4545.34,108.7,9.7,7.49
1986-07-01,114400.0,4607.669,109.5,9.3,6.97
1986-10-01,115600.0,4657.627,110.2,8.4,5.99
1987-01-01,120800.0,4722.156,111.4,9.7,14.35
